,Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,Winner
0,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Noose,tt0019217,Richard Barthelmess,Richard Barthelmess,
1,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patent Leather Kid,tt0018253,Richard Barthelmess,Richard Barthelmess,
2,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Last Command,tt0019071,Emil Jannings,Emil Jannings,True
3,1,1928,Acting,ACTOR IN A LEADING ROLE,ACTOR,The Way of All Flesh,tt0019553,Emil Jannings,Emil Jannings,True
4,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Ship Comes In,tt0018389,Louise Dresser,Louise Dresser,
5,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,7th Heaven,tt0018379,Janet Gaynor,Janet Gaynor,True
6,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Street Angel,tt0019429,Janet Gaynor,Janet Gaynor,True
7,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sunrise,tt0018455,Janet Gaynor,Janet Gaynor,True
8,1,1928,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sadie Thompson,tt0019344,Gloria Swanson,Gloria Swanson,
9,1,1928,Production,ART DIRECTION,ART DIRECTION,Sunrise,tt0018455,Rochus Gliese,Rochus Gliese,
10,1,1928,Production,ART DIRECTION,ART DIRECTION,The Dove,tt0017822,William Cameron Menzies,William Cameron Menzies,True
11,1,1928,Production,ART DIRECTION,ART DIRECTION,Tempest,tt0019451,William Cameron Menzies,William Cameron Menzies,True
12,1,1928,Production,ART DIRECTION,ART DIRECTION,7th Heaven,tt0018379,Harry Oliver,Harry Oliver,
13,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Devil Dancer,tt0017806,George Barnes,George Barnes,
14,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Magic Flame,tt0018129,George Barnes,George Barnes,
15,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sadie Thompson,tt0019344,George Barnes,George Barnes,
16,1,1928,Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sunrise,tt0018455,"Charles Rosher, Karl Struss","Charles Rosher, Karl Struss",True
17,1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Two Arabian Knights,tt0018515,Lewis Milestone,Lewis Milestone,True
18,1,1928,Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Speedy,tt0019412,Ted Wilde,Ted Wilde,
19,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),7th Heaven,tt0018379,Frank Borzage,Frank Borzage,True
20,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Sorrell and Son,tt0018429,Herbert Brenon,Herbert Brenon,
21,1,1928,Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),The Crowd,tt0018806,King Vidor,King Vidor,
23,1,1928,Production,VISUAL EFFECTS,ENGINEERING EFFECTS,Wings,tt0018578,Roy Pomeroy,Roy Pomeroy,True
25,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,The Racket,tt0019304,The Caddo Company,The Caddo Company,
26,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,7th Heaven,tt0018379,Fox,Fox,
27,1,1928,Title,BEST PICTURE,OUTSTANDING PICTURE,Wings,tt0018578,Paramount Famous Lasky,Paramount Famous Lasky,True
28,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Sunrise,tt0018455,Fox,Fox,True
29,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,The Crowd,tt0018806,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,
30,1,1928,Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Chang,tt0017743,Paramount Famous Lasky,Paramount Famous Lasky,
31,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Jazz Singer,tt0018037,Alfred Cohn,Alfred Cohn,
32,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Glorious Betsy,tt0018945,Anthony Coldeway,Anthony Coldeway,
33,1,1928,Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),7th Heaven,tt0018379,Benjamin Glazer,Benjamin Glazer,True
34,1,1928,Writing,WRITING (Original Story),WRITING (Original Story),The Last Command,tt0019071,Lajos Biro,Lajos Biro,
35,1,1928,Writing,WRITING (Original Story),WRITING (Original Story),Underworld,tt0018526,Ben Hecht,Ben Hecht,True
